TimeStamp,AudioVolume,Decibels
100,0,-Infinity
200,0,-Infinity
300,0,-Infinity
400,0,-Infinity
500,0,-Infinity
600,0,-Infinity
700,0,-Infinity
800,0,-Infinity
900,0,-Infinity
1000,0,-Infinity
1100,0,-Infinity
1200,0.000838488,18.67594
1300,0.0007479968,17.68399
1400,0.0008812241,19.10773
1500,0.0008788343,19.08414
1600,0.0006995929,17.10291
1700,0.0008969269,19.26114
1800,0.0007690078,17.92461
1900,0.06910399,56.99606
2000,0.07100227,57.23145
2100,0.02688971,48.79772
2200,0.03482259,51.04322
2300,0.04059243,52.3749
2400,0.03224913,50.37636
2500,0.007044761,37.16332
2600,0.006266731,36.14682
2700,0.006185785,36.03389
2800,0.007170219,37.31665
2900,0.006874811,36.95121
3000,0.00705788,37.17949
3100,0.007108825,37.24195
3200,0.007653875,37.88363
3300,0.007027294,37.14176
3400,0.00652785,36.5014
3500,0.006624861,36.62953
3600,0.007730469,37.97012
3700,0.1243135,62.09636
3800,0.1101882,61.0487
3900,0.08439849,58.73269
4000,0.006983252,37.08715
4100,0.02452126,47.99686
4200,0.03749225,51.68483
4300,0.03104744,50.04652
4400,0.1869219,65.6392
4500,0.1575716,64.15556
4600,0.04929453,54.06197
4700,0.02891544,49.4286
4800,0.2918685,69.50974
4900,0.3072966,69.95715
5000,0.3871663,71.96395
5100,0.40979,72.45723
5200,0.2655681,68.68951
5300,0.03579269,51.28189
5400,0.02435646,47.93829
5500,0.01697591,44.80266
5600,0.009189202,39.47155
5700,0.006802911,36.8599
5800,0.007049458,37.16911
5900,0.03383108,50.79232
6000,0.09488104,59.74959
6100,0.07280467,57.44918
6200,0.03662181,51.48079
6300,0.01936661,45.94707
6400,0.03946994,52.13133
6500,0.04875502,53.96638
6600,0.01191058,41.72466
6700,0.0805348,58.32567
6800,0.05224231,54.56644
6900,0.02854229,49.31578
7000,0.007229457,37.38811
7100,0.006630605,36.63706
7200,0.007584151,37.80414
7300,0.009465297,39.72868
7400,0.007898062,38.15641
7500,0.009189475,39.47181
7600,0.008482813,38.7768
7700,0.006715267,36.74726
7800,0.08642276,58.93856
7900,0.3375872,70.77372
8000,0.08303308,58.59102
8100,0.02574466,48.41974
8200,0.007273732,37.44114
8300,0.00726098,37.4259
8400,0.007260995,37.42592
8500,0.006950299,37.04607
8600,0.008540425,38.83559
8700,0.007375679,37.56204
8800,0.006986103,37.0907
8900,0.006655431,36.66953
9000,0.006663075,36.67949
9100,0.006902103,36.98563
9200,0.007554553,37.77018
9300,0.007453594,37.65331
9400,0.007365357,37.54987
9500,0.03518572,51.13333
9600,0.0515137,54.44445
9700,0.01674818,44.68535
9800,0.05091595,54.34307
9900,0.04262183,52.79865
10000,0.02762081,49.03073
10100,0.07150098,57.29224
10200,0.2934128,69.55558
10300,0.1692627,64.77722
10400,0.05844377,55.54076
10500,0.08270527,58.55666
10600,0.051886,54.507
10700,0.05583389,55.14396
10800,0.06772578,56.82108
10900,0.07044367,57.16284
11000,0.2739833,68.96048
11100,0.01999977,46.2265
11200,0.03348089,50.70194
11300,0.07995876,58.26332
11400,0.0106827,40.77962
11500,0.01131317,41.27769
11600,0.04541561,53.3501
11700,0.01350026,42.81284
11800,0.007220552,37.37741
11900,0.02953739,49.61344
12000,0.07531819,57.744
12100,0.04743898,53.72871
12200,0.03060489,49.92181
12300,0.1546129,63.99091
12400,0.06668512,56.68658
12500,0.1553173,64.0304
12600,0.1450522,63.43649
12700,0.2996657,69.73874
12800,0.2688609,68.79655
12900,0.251152,68.20473
13000,0.2829674,69.24073
13100,0.2093762,66.62454
13200,0.3908601,72.04642
13300,0.2732764,68.93804
13400,0.2929267,69.54118
13500,0.2414932,67.8641
13600,0.2554912,68.35352
13700,0.2555769,68.35643
13800,0.1157033,61.47291
13900,0.2451678,67.99527
14000,0.156435,64.09268
14100,0.2788856,69.11452
14200,0.2290687,67.40531
14300,0.2234912,67.19121
14400,0.2033653,66.37154
14500,0.2313539,67.49154
14600,0.2424206,67.89738
14700,0.143461,63.34068
14800,0.2312974,67.48941
14900,0.3152984,70.18044
15000,0.3365628,70.74732
15100,0.622654,76.09093
15200,0.3560109,71.23527
15300,0.343527,70.92522
15400,0.2941337,69.57689
15500,0.3520963,71.13923
15600,0.3984167,72.21275
15700,0.1866213,65.62522
15800,0.314826,70.16741
15900,0.442598,73.12619
16000,0.2112281,66.70103
16100,0.277859,69.08249
16200,0.2366687,67.68882
16300,0.3656904,71.46827
16400,0.2354655,67.64455
16500,0.1555176,64.04159
16600,0.2336387,67.5769
16700,0.2308061,67.47094
16800,0.09672265,59.91656
16900,0.08898548,59.19238
17000,0.08455317,58.7486
17100,0.09261386,59.53952
17200,0.2701708,68.83877
17300,0.1694422,64.78644
17400,0.1788773,65.2571
17500,0.1960633,66.05392
17600,0.1581624,64.18806
17700,0.1252643,62.16254
17800,0.1358395,62.86652
17900,0.1125975,61.23658
18000,0.2340987,67.59398
18100,0.396327,72.16707
18200,0.4136508,72.53867
18300,0.5930638,75.66802
18400,0.1726114,64.94739
18500,0.5024825,74.22842
18600,0.4021345,72.29343
18700,0.7618518,77.84341
18800,0.2719958,68.89724
18900,0.1581886,64.1895
19000,0.2160783,66.89822
19100,0.1179699,61.64143
19200,0.06748208,56.78977
19300,0.2290909,67.40616
19400,0.1642946,64.51846
19500,0.1435756,63.34761

